epoch,r2,rmse,mae,mape
1.0,-8.971456527709961,0.7413686551851802,0.7050241231918335,14550780800.0
2.0,-6.911123752593994,0.6603497103214098,0.6225338578224182,10019530400.0
3.0,-5.158066272735596,0.5826088772065011,0.5430941581726074,5416259600.0
4.0,-3.652658462524414,0.5064137488318726,0.4665948748588562,2875976800.0
5.0,-2.392394781112671,0.43242230988216157,0.39429041743278503,3867340000.0
6.0,-1.4384346008300781,0.36661521467539365,0.33025890588760376,7438964800.0
7.0,-0.6928838491439819,0.3054699509931209,0.27082058787345886,11254882400.0
8.0,-0.15901494026184082,0.2527548137578052,0.22092203795909882,14912108800.0
9.0,0.17596220970153809,0.2131220932871365,0.18161937594413757,18300780800.0
10.0,0.387615442276001,0.1837244785841279,0.15027232468128204,21503905600.0
11.0,0.47658246755599976,0.16985528013648196,0.13419906795024872,23886716800.0
12.0,0.49506425857543945,0.16682954865738076,0.12841638922691345,25898438400.0
13.0,0.4815109968185425,0.16905369892586714,0.13004617393016815,26640624000.0
14.0,0.4834609627723694,0.16873551169647621,0.12904393672943115,26914060800.0
15.0,0.4984830617904663,0.16626380433766252,0.12404699623584747,27441404800.0
16.0,0.5387780666351318,0.15944462358687672,0.11257867515087128,28359376000.0
17.0,0.5757128000259399,0.15292725323606843,0.09988212585449219,29257811200.0
18.0,0.6191352009773254,0.14489064124239012,0.0902131050825119,28398435200.0
19.0,0.6263629198074341,0.14350924778300037,0.09217029809951782,27460937600.0
20.0,0.6247644424438477,0.1438158993391783,0.09447118639945984,26171875200.0
21.0,0.6215419769287109,0.14443211119473165,0.09602968394756317,25136718400.0
22.0,0.6070770025253296,0.14716638742671875,0.10016536712646484,24033201600.0
23.0,0.6165141463279724,0.14538833654284533,0.09752800315618515,23828123200.0
24.0,0.608300507068634,0.14693708401202887,0.10106328874826431,23466795200.0
25.0,0.6122431755065918,0.14619571855258606,0.10074863582849503,23369137600.0
26.0,0.6362661123275757,0.14159463668197064,0.09177760779857635,24111328000.0
27.0,0.6543703079223633,0.13802585427730335,0.08211324363946915,25009764800.0
28.0,0.6659626960754395,0.13569141371444987,0.07814666628837585,25371094400.0
29.0,0.6709269881248474,0.13467935897094022,0.07585851103067398,26328124800.0
30.0,0.6799215078353882,0.13282602605943936,0.07245071977376938,26699214400.0
31.0,0.6775773763656616,0.1333115122741077,0.07239118218421936,27343750400.0
32.0,0.6796258687973022,0.13288734935466331,0.07534028589725494,26874998400.0
33.0,0.6813706755638123,0.13252499259203185,0.07303538918495178,27441404800.0
34.0,0.6721327304840088,0.13443239450092995,0.07066270709037781,29140624000.0
35.0,0.6774287223815918,0.1333422404222347,0.06702035665512085,29277344000.0
36.0,0.685088038444519,0.13174965472148986,0.06645724177360535,28945312000.0
37.0,0.6968328952789307,0.12926947110242437,0.06692390143871307,27988284800.0
