epoch,r2,rmse,mae,mape
1.0,-2.666642904281616,0.4495616101993711,0.39301827549934387,1454467800.0
2.0,-0.5946652889251709,0.29647609613693465,0.25906115770339966,11699218400.0
3.0,0.21659165620803833,0.20780165400202485,0.1774909794330597,21074219200.0
4.0,0.23179078102111816,0.20577597186271882,0.15929467976093292,27656249600.0
5.0,0.14652472734451294,0.21689542472205328,0.16409514844417572,30332032000.0
6.0,0.14326989650726318,0.21730860037180583,0.16374358534812927,31074217600.0
7.0,0.13372951745986938,0.218515201986897,0.16546234488487244,31464844800.0
8.0,0.15160536766052246,0.21624887645297258,0.16567538678646088,30820310400.0
9.0,0.1820434331893921,0.2123342470648951,0.1666705459356308,28867187200.0
10.0,0.19494152069091797,0.2106534758796696,0.17004013061523438,26875001600.0
11.0,0.20791703462600708,0.20894897018428957,0.1711294800043106,25781249600.0
12.0,0.22874414920806885,0.20618361466763263,0.16657966375350952,26718748800.0
13.0,0.2836952805519104,0.1987027141863467,0.1564166247844696,28046873600.0
14.0,0.3864562511444092,0.18389828767611974,0.1397630274295807,28652342400.0
15.0,0.45680665969848633,0.1730342696789122,0.13004344701766968,28085939200.0
16.0,0.49192172288894653,0.167347880560923,0.12655262649059296,27402342400.0
17.0,0.5036460161209106,0.16540577455564368,0.1248631700873375,27109372800.0
18.0,0.5366894006729126,0.1598052505002097,0.11920900642871857,26171875200.0
19.0,0.5622994303703308,0.15532574882067413,0.11298288404941559,26269532800.0
20.0,0.6064289212226868,0.1472877091258744,0.1020616888999939,26914060800.0
21.0,0.6677488088607788,0.1353281622911822,0.08817999064922333,25507811200.0
22.0,0.7036446332931519,0.1278089579718652,0.08175553381443024,24140624000.0
23.0,0.7373510599136353,0.1203213677606179,0.07217863202095032,23691408000.0
24.0,0.7540587186813354,0.11643153578435309,0.07134631276130676,21835937600.0
25.0,0.7693744897842407,0.11274793064228339,0.07021980732679367,20195312000.0
26.0,0.7935647368431091,0.10667111568731065,0.054556217044591904,21191404800.0
27.0,0.8102238774299622,0.10227645670949749,0.05796566605567932,18354491200.0
